Pilote,Rang,Points,AUSR,BELR,BRAR,CANR,EURR,FRAR,GERR,GRER,HUNR,ITAR,JAPR,MALR,MONR,SANR,SPAR,UNIR
Michael Schumacher,1,343,33,25,18,18,15,18,25,15,18,18,25,25,15,25,25,25
Juan Pablo Montoya,2,291,20,10,25,25,25,25,12,25,12,25,8,18,25,12,12,12
Rubens Barrichello,3,278,50,15,4,15,12,15,15,18,25,12,18,15,10,18,18,18
Ralf Schumacher,4,234,33,12,15,12,18,10,18,12,15,15,10,12,12,15,15,10
Kimi Räikkönen,5,162,18,18,10,10,8,12,10,10,0,8,12,10,8,10,10,8
David Coulthard,6,145,16,8,12,4,10,8,2,8,1,6,15,8,18,8,6,15
Jarno Trulli,7,65,6,6,8,1,6,4,4,6,8,0,0,0,6,4,2,4
Nick Heidfeld,8,45,11,0,2,6,2,1,1,1,4,0,0,6,0,6,4,1
Giancarlo Fisichella,9,38,4,0,0,8,0,,8,0,10,0,4,2,0,0,0,2
Jenson Button,10,38,0,1,6,0,4,6,0,0,2,0,1,4,4,2,8,0
Eddie Irvine,11,16,0,4,0,0,0,2,0,0,0,10,0,0,0,0,0,0
Jacques Villeneuve,12,15,0,0,0,2,0,0,0,2,0,2,2,0,0,1,0,6
Felipe Massa,13,14,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,
Mika Salo,14,13,1,2,1,0,1,0,0,4,0,1,0,1,2,0,0,0
Olivier Panis,15,8,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Takuma Sato,16,6,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Pedro de la Rosa,17,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
Heinz-Harald Frentzen,18,1,0,,0,0,0,0,0,0,,,,0,0,0,1,0
Allan McNish,19,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Enrique Bernoldi,20,0,0,,0,0,0,0,0,0,,,,0,0,0,0,
Mark Webber,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Yoong,22,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0
Anthony Davidson,23,0,,0,,,,,,,0,,,,,,,
